Date,Open,High,Low,Close,Adj Close,Volume
2018-12-17,105.410004,106.879997,97.459999,98.230003,97.812279,356051000
2018-12-24,97.680000,102.410004,93.959999,100.389999,99.963089,183264800
2018-12-31,101.290001,102.510002,97.199997,101.930000,101.496536,155087300
2019-01-07,101.639999,104.879997,100.980003,102.800003,102.362839,157833100
2019-01-14,101.900002,107.900002,101.260002,107.709999,107.251953,155699200
2019-01-21,106.750000,107.879997,104.860001,107.169998,106.714249,112636000
2019-01-28,106.260002,106.480003,102.169998,102.779999,102.342918,201611200
2019-02-04,102.870003,107.269997,102.769997,105.669998,105.220634,130472100
2019-02-11,106.199997,108.300003,104.970001,108.220001,107.759789,110757200
2019-02-18,107.790001,111.199997,106.290001,110.970001,110.498093,96472600
2019-02-25,111.760002,113.239998,110.879997,112.529999,112.529999,119359500
2019-03-04,113.019997,113.250000,108.800003,110.510002,110.510002,111973000
2019-03-11,110.989998,117.250000,110.980003,115.910004,115.910004,173582600
2019-03-18,116.169998,120.820000,116.050003,117.050003,117.050003,160388500
2019-03-25,116.559998,118.709999,115.519997,117.940002,117.940002,119632800
2019-04-01,118.949997,120.430000,118.099998,119.889999,119.889999,99731100
2019-04-08,119.809998,120.980003,118.580002,120.949997,120.949997,83159600
2019-04-15,120.940002,123.519997,120.099998,123.370003,123.370003,77156300
2019-04-22,122.620003,124.000000,122.570000,123.760002,123.760002,15641200
